version,date,num_downloads
0.3.0,2024-05-31 00:00:00+00:00,1
0.3.0,2024-06-04 00:00:00+00:00,1
0.3.0,2024-06-08 00:00:00+00:00,3
0.3.0,2024-06-09 00:00:00+00:00,1
0.3.0,2024-06-10 00:00:00+00:00,1
0.3.0,2024-06-11 00:00:00+00:00,2
0.3.0,2024-06-12 00:00:00+00:00,2
0.3.0,2024-06-15 00:00:00+00:00,2
0.3.0,2024-06-22 00:00:00+00:00,1
0.3.0,2024-06-24 00:00:00+00:00,1
0.3.0,2024-06-26 00:00:00+00:00,2
0.3.0,2024-06-27 00:00:00+00:00,3
0.2.0,2024-06-02 00:00:00+00:00,1
0.2.0,2024-06-10 00:00:00+00:00,1
0.2.0,2024-06-12 00:00:00+00:00,1
0.2.0,2024-06-13 00:00:00+00:00,2
0.2.0,2024-06-15 00:00:00+00:00,2
0.2.0,2024-06-19 00:00:00+00:00,1
0.2.0,2024-06-24 00:00:00+00:00,1
0.2.0,2024-06-27 00:00:00+00:00,1
0.1.0rc1,2024-05-31 00:00:00+00:00,10
0.1.0rc1,2024-06-01 00:00:00+00:00,4
0.1.0rc1,2024-06-02 00:00:00+00:00,2
0.1.0rc1,2024-06-10 00:00:00+00:00,1
0.1.0rc1,2024-06-13 00:00:00+00:00,3
0.1.0rc1,2024-06-15 00:00:00+00:00,2
0.1.0rc1,2024-06-19 00:00:00+00:00,1
0.1.0rc1,2024-06-20 00:00:00+00:00,1
0.1.0rc1,2024-06-24 00:00:00+00:00,2
0.1.0,2024-06-01 00:00:00+00:00,1
0.1.0,2024-06-08 00:00:00+00:00,1
0.1.0,2024-06-13 00:00:00+00:00,3
0.1.0,2024-06-15 00:00:00+00:00,2
0.1.0,2024-06-23 00:00:00+00:00,1
0.1.0,2024-06-24 00:00:00+00:00,1
0.1.0,2024-06-29 00:00:00+00:00,1
